Wind;PV_rt
0,020634;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,037508;0
0,018623;0
0,012131;0
0,012131;0
0,012131;0
0,012131;0
0,012131;0
0,018623;0
0,037508;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038689;0
0,038334;0
0,021338;0
0,012839;0
0,030898;0
0,038689;0
0,039913;0
0,069086;0
0,049909;0
0,038689;0
0,038689;0
0,042973;0
0,082077;0
0,14528;0,006163729
0,22911;0,015212116
0,25902;0,021650826
0,25902;0,038726653
0,25902;0,030514768
0,22367;0,038611074
0,15841;0,042125637
0,15705;0,083629074
0,15705;0,134553158
0,15705;0,085226953
0,15705;0,070252737
0,15705;0,042477189
0,15705;0,047492353
0,16657;0,079960405
0,2427;0,085507232
0,25902;0,089751868
0,25902;0,077349284
0,25902;0,067104174
0,25902;0,071780305
0,25902;0,045056526
0,25902;0,075236116
0,22367;0,035990321
0,17472;0,061475479
0,2495;0,104704895
0,30562;0,082727558
0,40726;0,036682832
0,51309;0,008621804
0,41425;0,002119814
0,34684;0,000311216
0,26081;0
0,25902;0
0,25902;0
0,25902;0
0,25902;0
0,25902;0
0,25902;0
0,22911;0
0,15977;0
0,15705;0
0,15705;0
0,15705;0
0,15705;0
0,15705;0
0,15705;0
0,15705;0
0,15705;0
0,15705;0
0,15029;0
0,096184;0
0,083366;0
0,052153;0
0,038689;0
0,038689;0
0,038689;0
0,037508;0
0,018623;0
0,012131;0
0,012131;0
0,012131;0
0,012131;0
0,012131;0
0,012131;0
0,01638;0
0,03621;0
0,049909;0
0,083516;0
0,13193;0
0,16974;0
0,24633;0
0,27574;0
0,37671;0
0,39344;0
0,39344;0
0,33071;0
0,29188;0
0,38747;0
0,39344;0
0,45141;0
0,54728;0
0,42689;0
0,38448;0
0,2859;0
0,25902;0
0,25902;0
0,2626;0
0,35401;0
0,37193;0
0,27156;0
0,21143;0
0,14256;0
0,089421;0
0,08459;0
0,08459;0
0,1023;0
0,15061;0
0,1023;0
0,08459;0,006175383
0,08459;0,013519847
0,08459;0,014923168
0,08459;0,019767853
0,08459;0,0245403
0,1023;0,034838384
0,13934;0,044220505
0,089421;0,040711721
0,08459;0,051489458
0,08255;0,046138153
0,063373;0,057460074
